iteration,problem,metric,metric_display_name,seed,original_value,refactored_value,absolute_difference,relative_error
4,Problem 3,stage_E_station_utilization,Stage E utilization,20264365,0.572095193677385,0.2740519663041341,0.29804322737325095,0.5209678925240595
5,Problem 1,P_out,Overall pass probability,20265374,0.9960028369858508,0.9960028369858508,0.0,0.0
5,Problem 1,P_E,Stage E pass probability,20265374,0.9998143979475258,0.9998143979475258,0.0,0.0
5,Problem 1,P_G,Hidden defect pool probability,20265374,0.0028389289043024846,0.0028389289043024846,0.0,0.0
5,Problem 1,E_T_all,Expected total processing time (h),20265374,11.015738193626689,11.015738193626689,0.0,0.0
5,Problem 2,makespan_days,Makespan (days),20265374,59.239583333333336,59.239583333333336,0.0,0.0
5,Problem 2,qualified_count,Qualified robots,20265374,109.0,109.0,0.0,0.0
5,Problem 2,omission_probability,Omission probability,20265374,0.0,0.0,0.0,0.0
5,Problem 2,misjudgment_probability,Misjudgment probability,20265374,0.010615711252653927,0.012711864406779662,0.0020961531541257346,0.1974576271186442
5,Problem 2,throughput_per_day,Throughput per day,20265374,1.8399859328292596,1.8399859328292596,0.0,0.0
5,Problem 2,stage_E_station_utilization,Stage E utilization,20265374,0.5260361171960524,0.2624794840896953,0.2635566331063571,0.5010238356088583
5,Problem 3,makespan_days,Makespan (days),20265374,31.458333333333332,31.385416666666668,0.0729166666666643,0.0023178807947019115
5,Problem 3,qualified_count,Qualified robots,20265374,112.0,112.0,0.0,0.0
5,Problem 3,omission_probability,Omission probability,20265374,0.0,0.0,0.0,0.0
5,Problem 3,misjudgment_probability,Misjudgment probability,20265374,0.0021141649048625794,0.002109704641350211,4.460263512368577e-06,0.002109704641350337
5,Problem 3,throughput_per_day,Throughput per day,20265374,3.560264900662252,3.568536342515765,0.008271441853513029,0.0023232658479919403
5,Problem 3,stage_E_station_utilization,Stage E utilization,20265374,0.5523016595798502,0.28205465557027476,0.27024700400957546,0.48931050508730894
6,Problem 1,P_out,Overall pass probability,20266383,0.9955606556665797,0.9955606556665797,0.0,0.0
6,Problem 1,P_E,Stage E pass probability,20266383,0.999760462740859,0.999760462740859,0.0,0.0
6,Problem 1,P_G,Hidden defect pool probability,20266383,0.0030466513973476106,0.0030466513973476106,0.0,0.0
6,Problem 1,E_T_all,Expected total processing time (h),20266383,10.410538999945569,10.41053899994557,1.7763568394002505e-15,1.706306310758298e-16
6,Problem 2,makespan_days,Makespan (days),20266383,59.239583333333336,58.40972222222222,0.8298611111111143,0.014008557528867059
6,Problem 2,qualified_count,Qualified robots,20266383,111.0,110.0,1.0,0.009009009009009009
6,Problem 2,omission_probability,Omission probability,20266383,0.0,0.0,0.0,0.0
6,Problem 2,misjudgment_probability,Misjudgment probability,20266383,0.004246284501061571,0.00641025641025641,0.002163971909194839,0.5096153846153846
6,Problem 2,throughput_per_day,Throughput per day,20266383,1.8737471426059433,1.883248127452146,0.009500984846202654,0.0050705800319401735
6,Problem 2,stage_E_station_utilization,Stage E utilization,20266383,0.584387961979046,0.285655253837072,0.29873270814197395,0.5111890175326462
6,Problem 3,makespan_days,Makespan (days),20266383,31.385416666666668,31.034722222222225,0.35069444444444287,0.011173802411771162
6,Problem 3,qualified_count,Qualified robots,20266383,111.0,111.0,0.0,0.0
6,Problem 3,omission_probability,Omission probability,20266383,0.0,0.0,0.0,0.0
6,Problem 3,misjudgment_probability,Misjudgment probability,20266383,0.006329113924050633,0.008421052631578947,0.0020919387075283144,0.33052631578947367
6,Problem 3,throughput_per_day,Throughput per day,20266383,3.53667441088616,3.576639069142985,0.039964658256824936,0.011300067129111632
